,formatted_readme,summary,prompt_text,generated_summary
0,// Do nothing - these buttons are not shown.,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Do nothing - these buttons are not shown.

### Response:",NO.
1,// throw,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// throw

### Response:",NO.
2,/* (non-Javadoc) * net.sourceforge.squirrel_sql.plugins.dbcopy.CopyPreference deleteTableData(java.lang.String) */,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* (non-Javadoc) * net.sourceforge.squirrel_sql.plugins.dbcopy.CopyPreference deleteTableData(java.lang.String) */

### Response:",NO.
3,"// Use a SwtPaintCanvas to show the color, note that we must set the // heightHint.",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Use a SwtPaintCanvas to show the color, note that we must set the // heightHint.

### Response:",NO.
4,/*bcm*/,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/*bcm*/

### Response:",NO.
5,//{{{ _saveComplete() method,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//{{{ _saveComplete() method

### Response:",NO. The save is not complete until the _saveComplete() method is called.
6,//{{{ getBrowserView() method,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//{{{ getBrowserView() method

### Response:",NO.
7,// The default title for the Menu bar,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// The default title for the Menu bar

### Response:",NO.
8,//{{{ ActionHandler class,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//{{{ ActionHandler class

### Response:",NO.
9,// Proxy can take some while to start up; show a wating cursor,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Proxy can take some while to start up; show a wating cursor

### Response:",NO. The cursor will be shown automatically.
10,"// This method is intended only for defining new classes in Ruby code, // so it uses the allocator of the specified superclass or default to // the Object allocator. It should NOT be used to define classes that require a native allocator.",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// This method is intended only for defining new classes in Ruby code, // so it uses the allocator of the specified superclass or default to // the Object allocator. It should NOT be used to define classes that require a native allocator.

### Response:",NO.
11,/* (non-Javadoc) * com.mockobjects.sql.MockDatabaseMetaData locatorsUpdateCopy() */,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* (non-Javadoc) * com.mockobjects.sql.MockDatabaseMetaData locatorsUpdateCopy() */

### Response:",NO.
12,// link.setFont(link.getFont().deriveFont(Font.BOLD));,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// link.setFont(link.getFont().deriveFont(Font.BOLD));

### Response:",NO.deriveFont(Font.BOLD)
13,// ignored,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// ignored

### Response:",NO.class
14,//HashMap columnsUnique = new HashMap();,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//HashMap columnsUnique = new HashMap();

### Response:",NO.toString
15,//private Paint arrowPaint;,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//private Paint arrowPaint;

### Response:",NO. A Shape is always opaque
16,// collect entity and tool tip information...,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// collect entity and tool tip information...

### Response:",NO. Entity and tool tip information is not collected.
17,//TODO: get SQL rendering out of this package!,YES.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//TODO: get SQL rendering out of this package!

### Response:",YES.
18,/* * java.awt.event.ActionListener actionPerformed(java.awt.event.ActionEvent) */,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* * java.awt.event.ActionListener actionPerformed(java.awt.event.ActionEvent) */

### Response:",NO. ACTION_PERFORMED is not fired for a GUI event.
19,"// TODO // This assumes we only get a SET notification, which isn't a good assumption. //",YES.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// TODO // This assumes we only get a SET notification, which isn't a good assumption. //

### Response:",YES.equals(notification.getAction());
20,//$NON-NLS-1$,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//$NON-NLS-1$

### Response:",NO. The property is not a collection...
21,//}}},NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//}}}

### Response:",NO. //}}}
22,"// There was no ElementResidence yet, so let's create one:",NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// There was no ElementResidence yet, so let's create one:

### Response:",NO. ElementResidence is not a concern for UML2.
23,// $NON-NLS-1$ // $NON-NLS-1$,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// $NON-NLS-1$ // $NON-NLS-1$

### Response:",NO. // $NON-NLS-1$
24,// $NON-NLS-1$,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// $NON-NLS-1$

### Response:","NO. The property is not a string, so we cannot use this code"
25,//}}},NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//}}}

### Response:",NO. //}}}
26,//setForeground( Color.blue );,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//setForeground( Color.blue );

### Response:",NO.
27,/* * (non-Javadoc) * * net.sourceforge.squirrel_sql.client.plugin.IPlugin getAuthor() */,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* * (non-Javadoc) * * net.sourceforge.squirrel_sql.client.plugin.IPlugin getAuthor() */

### Response:",NO.
28,// Push arguments as an object array,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Push arguments as an object array

### Response:",NO.argumentsArrayToObjectArray(eObjectArray);
29,// parse for email addresses and substite with HTML-code,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// parse for email addresses and substite with HTML-code

### Response:",NO. HTML-code is substituted before sending
30,// Switch to the new selection provider. //,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Switch to the new selection provider. //

### Response:",NO. The old selection provider must be cloned before switching. //
31,// i18n[DB2Plugin.showViewSource=Show view source],NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// i18n[DB2Plugin.showViewSource=Show view source]

### Response:",NO.
32,// necessary to create distance between // the textfield and the icon.,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// necessary to create distance between // the textfield and the icon.

### Response:",NO.
33,//{{{ _log() method,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//{{{ _log() method

### Response:",NO.
34,// Layout,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// Layout

### Response:",NO.class
35,// add a new series,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
// add a new series

### Response:",NO. A series can only be added to a chart with at least one data item.
36,/* * org.argouml.uml.ui.AbstractActionNavigate navigateTo(java.lang.Object) */,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
/* * org.argouml.uml.ui.AbstractActionNavigate navigateTo(java.lang.Object) */

### Response:",NO.
37,//{{{ finishStartup() method,NO.,"### Instruction: Classify the following text as YES or NO. Use just one class.

### Input:
//{{{ finishStartup() method

### Response:",NO.
